Level,Year,item_name_ar,item_name_en,unit_ar,unit_en,Annual average,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
6,2025,أرز بسمتي أبيض هندي (المهيدب),Basmati White Indian Rice (Al Mehideb),10 كجم,10 kg,96.37,97.9,97.73,96.86,95.88,96.35,94.96,96.75,95.62,95.81,96.36,96.7,95.52
6,2024,أرز بسمتي أبيض هندي (المهيدب),Basmati White Indian Rice (Al Mehideb),10 كجم,10 kg,98.75167,98.1,98.12,99.05,99.57,99.75,98.7,99.23,98.31,98.63,98.59,99.33,97.64
6,2023,أرز بسمتي أبيض هندي (المهيدب),Basmati White Indian Rice (Al Mehideb),10 كجم,10 kg,95.77417,92.47,92.29,92.23,94.01,93.1,95.2,95.67,97.65,99.24,98.97,98.75,99.71
6,2022,أرز بسمتي أبيض هندي (المهيدب),Basmati White Indian Rice (Al Mehideb),10 كجم,10 kg,91.40167,90.69,90.22,90.39,90.04,90.1,91.95,91.45,92.44,91.84,92.82,91.83,93.05
6,2021,أرز بسمتي أبيض هندي (المهيدب),Basmati White Indian Rice (Al Mehideb),10 كجم,10 kg,91.25833,91.62,91.76,91.54,90.76,91.51,90.93,90.32,90.86,91.2,91.49,91.85,91.26
6,2020,أرز بسمتي أبيض هندي (المهيدب),Basmati White Indian Rice (Al Mehideb),10 كجم,10 kg,88.64167,84.86,84.75,84.87,84.77,84.86,84.8,93.05,93.26,92.59,92.74,91.59,91.56
6,2019,أرز بسمتي أبيض هندي (المهيدب),Basmati White Indian Rice (Al Mehideb),10 كجم,10 kg,84.00217,83.435,83.091,83.59,83.8,83.53,83.83,84.22,84.5,84.7,84.57,84.27,84.49
6,2018,أرز بسمتي أبيض هندي (المهيدب),Basmati White Indian Rice (Al Mehideb),10 كجم,10 kg,83.76258,84.265,83.291,83.409,83.2,83.903,84.197,84.46,83.822,84.241,84.092,83.434,82.837
6,2017,أرز بسمتي أبيض هندي (المهيدب),Basmati White Indian Rice (Al Mehideb),10 كجم,10 kg,80.59417,81.243,81.154,81.092,80.964,80.386,80.549,80.658,80.092,80.552,80.066,80.056,80.318
6,2016,أرز بسمتي أبيض هندي (المهيدب),Basmati White Indian Rice (Al Mehideb),10 كجم,10 kg,81.56542,85.133,85.299,83.627,82.033,81.777,80.782,80.883,80.549,80.177,79.894,79.279,79.352
